2020/08/30 22:43:14 Warn: cannot load process tree model at dc65776b-ff73-45ee-89c4-34189aaafe80.json, corrupted data, cannot find "Main process" process
2020/08/30 22:43:14 considering 1861 tasks
2020/08/30 22:43:14 
2020/08/30 22:43:14 [*] coverage: 27.14%, md5: 0c79e2047f2afd97b4fad12ce1127847, uuid: 33fd909f-81d2-456c-9884-7df638c34520, profile: 88b1aa9a3abacfbca2c18956c5aff88efe05c23c.exe
2020/08/30 22:43:14 P: 1.00, md5: 7c5597b13bf744f8271bd85af3af2c7f, uuid: 85c67fac-7b93-44ac-83f5-e7a3af975450, name: nykMeDj
2020/08/30 22:43:14 P: 1.00, md5: 6f0abe881cbd900fcbd7417ccdc5efdd, uuid: be44bc09-e6ed-4a0b-b70f-a8b609b0a443, name: ou6lk67bwb_8024302.exe
2020/08/30 22:43:14 P: 1.00, md5: 291b997bc85ff480bfdab6efe0dadf26, uuid: 612ea6c8-81f6-415a-ac60-d58a954e4481, name: IAebYZZ.exe
2020/08/30 22:43:14 P: 1.00, md5: 01a61f1dbff59492533a42057c6890af, uuid: dcb997e9-f3d5-4bfa-a9f4-e853c1a898cb, name: VirusShare_01a61f1dbff59492533a42057c6890af
2020/08/30 22:43:14 P: 1.00, md5: 841416af9609f8b1ae5a49e85f2d752b, uuid: 139976f9-f72c-4a74-91fb-8833be7ff40a, name: wbGv44
2020/08/30 22:43:14 P: 1.00, md5: 8955f5b904b7c6d4d7ff43bd8459a439, uuid: 5b685e39-2cf3-4e31-b08a-add721702537, name: emotet.exe
2020/08/30 22:43:14 P: 1.00, md5: 884a8ccf997a5ed801f99be8fb31b1fc, uuid: ff930541-a2be-4f9c-8c35-19782c3550ed, name: pdeftvolume.exe
2020/08/30 22:43:14 P: 1.00, md5: 983fe5749a378019a957488374b34bb3, uuid: c7ae0ff9-aa68-4314-b621-51c628132408, name: my21j-drza7w63p-770416849
2020/08/30 22:43:14 P: 1.00, md5: 11f20e9364ef5099187b3445629888d3, uuid: 31520473-791d-4600-873f-453b2c1b0e97, name: nmw
2020/08/30 22:43:14 P: 1.00, md5: 13d9ee173d5014a108cc3008fead3484, uuid: 6a07e0cb-47e4-4ddd-ab82-f3367f5b4cda, name: aw2mIU
2020/08/30 22:43:14 P: 1.00, md5: f9249b74e2440ac8f6ef8d1c89e318e9, uuid: e3a9b274-d346-4858-a878-12bbf1764d9f, name: file1.exe
2020/08/30 22:43:14 P: 1.00, md5: 42f7cb5a6bca77daa4efa0a5949c2f8d, uuid: 5e7e6b87-57ee-47c8-8c5a-e202d541a1aa, name: wasvault.exe
2020/08/30 22:43:14 P: 1.00, md5: 6011051c5748301230b8f9381a18bcd3, uuid: 48b16d29-d0e4-42ba-9f1d-9b386775285a, name: aa75bc5ab7ea_nothingToSee.exe
2020/08/30 22:43:14 P: 1.00, md5: d3d8c9f242961322e1c2ef75c1d73cfe, uuid: 0e0789ad-c331-45ed-811f-e38e474ceb8f, name: d3d8c9f242961322e1c2ef75c1d73cfe
2020/08/30 22:43:14 P: 1.00, md5: 0052dd759e5301825d6b520ff9b175db, uuid: b57b171b-f0e8-4e36-b306-f25234e0e561, name: VirusShare_0052dd759e5301825d6b520ff9b175db
2020/08/30 22:43:14 P: 0.75, md5: 6dd0c944ac2058bf342385b76e41f186, uuid: e2bde7bb-5db4-4bf0-9bb6-f206b4b78314, name: yng1l-j6l3m8p-37065190
2020/08/30 22:43:14 P: 0.75, md5: ef665978b670c6c7388f878a7d9ad183, uuid: 0c7b989c-c538-48d2-ac2c-37930862d371, name: 1.exe
2020/08/30 22:43:14 P: 0.75, md5: 51179285136208ababbbc60ea2e63db0, uuid: 72189d57-5f87-42b0-8078-1e261a3359f4, name: foster.exe
2020/08/30 22:43:14 P: 0.75, md5: 2475687c96428bc17b0e0c7a80bc5ded, uuid: 28ba7cad-fe14-483d-b400-ba0a24d5d712, name: 9ep2aaqakv.exe
2020/08/30 22:43:14 P: 0.75, md5: 8856dbaf69da28dec330e46d781ca245, uuid: 39a79ffc-83ec-425c-9f24-0b3fc482249f, name: 7ao64183
2020/08/30 22:43:14 P: 0.75, md5: 9d453001913d6f2c4e38d05bd849687a, uuid: 9732462e-376e-4ddf-9ea3-8f52ef9dd31a, name: yorkpartner.exe
2020/08/30 22:43:14 P: 0.75, md5: d41ee5e56bb8672b232a4a277df1b58c, uuid: feffa8a7-faba-49da-9eb8-aec571b04689, name: 8wr5E
2020/08/30 22:43:14 P: 0.75, md5: f92538d0cb0b0d701ba6f21f894ddd5d, uuid: 54c995cc-62c6-404a-91a9-0818a5e1fcd8, name: 460.exe
2020/08/30 22:43:14 P: 0.75, md5: 34fa7c45fbf6b8a2ccd188916cf9e6ad, uuid: db006216-31ee-4712-9946-a41e1c96b10b, name: isRbTZ6SwLBhITL4.exe
2020/08/30 22:43:14 P: 0.75, md5: d63900c1e0682f46224b0e12c7c55028, uuid: 47bd0f41-1579-4e90-82e3-527164dfc3d2, name: fe03c577260fa1e0b090a52621bbab904b1198c8.exe
2020/08/30 22:43:14 P: 0.75, md5: 20afd1814233fe9b3627302224b9fa7d, uuid: be20ff5d-00ec-42d0-a522-5f95b5af06ec, name: rk4dx2rum.exe
2020/08/30 22:43:14 P: 0.75, md5: 83df254cd94514267cb1567e63239ede, uuid: ca196432-15cb-4b7f-b363-2d0811e088cb, name: 8s899089
2020/08/30 22:43:14 P: 0.75, md5: af52d21395b9b49a98f5f44f63979331, uuid: 57cd37e9-4518-46e5-bad2-b402409c077d, name: 9a0a40dad123b16c404eb3b786e72ac8f3a4ebaf9e8a14682977c69fff4f379e.bin
2020/08/30 22:43:14 P: 0.75, md5: f3f48c57c38bff2ddd220f20569e1ee6, uuid: 64a8cd9e-3130-41b5-ac48-41182dd22f26, name: oIqXjben
2020/08/30 22:43:14 P: 0.75, md5: 41de3d0e270115d90ff6d5f11a941352, uuid: b9204d05-e9f6-428e-887b-1c0d117dd2d7, name: second_2ndstage_9n60gh8s7u.exe
2020/08/30 22:43:14 P: 0.75, md5: 45b14807fd14054ffcbc40ed4297f618, uuid: ff4ceac8-be10-47a4-a3ed-a9f4ccfec1af, name: r2haes8p-ee8luskzee-687994
2020/08/30 22:43:14 P: 0.75, md5: 3e43912e22e61dc8bbab30ef3f8ae92c, uuid: 156dd96d-a910-4b7b-afcb-bf0edf02e0bc, name: 8wr5E
2020/08/30 22:43:14 P: 0.75, md5: 3bcba502867552705f0a82a0a9320912, uuid: 61b0e063-214a-44d1-b0ed-afd006d50688, name: OPpDRHiamymWmMyh.exe
2020/08/30 22:43:14 P: 0.75, md5: 20afd1814233fe9b3627302224b9fa7d, uuid: 2451c688-87a5-4d22-a7fb-294d32d94a7d, name: 5jc35xf.exe
2020/08/30 22:43:14 P: 0.75, md5: 23e5cd326398d0b7e5050517fadad5d1, uuid: bc1e21ba-38bc-483d-85f6-9aed5a14f80a, name: a0wpx.exe
2020/08/30 22:43:14 P: 0.75, md5: bf4675b1d04a08ca95dda3781a9d2d9a, uuid: faf53f41-08bb-465d-a50c-5b10cf2e0c4f, name: 117239743.exe
2020/08/30 22:43:14 P: 0.75, md5: 0ddcb63867d4764608b09ebeec10093b, uuid: e44c60cb-7947-421a-8131-3e1f5aa64b96, name: 29578304.exe
2020/08/30 22:43:14 P: 0.75, md5: 34bdd27b6322f255245371daac49aa04, uuid: 7306eb61-8ebb-4b54-a9b0-8f08a73ab1c2, name: m9yufwg62-ivbak8-8431
2020/08/30 22:43:14 P: 0.75, md5: 058f2ba7633a2058de309ed41289bc20, uuid: ba0204c5-eecf-4ef8-9f24-e22004d2489d, name: 2b67770871efe020255135972842270dcaa6510a4984522bc14f0f2ae5e5ce9a.exe
2020/08/30 22:43:14 P: 0.75, md5: b356ddc2348a102711ccd47a65b6cbcf, uuid: 4e346647-b0bb-4bc8-bd18-3b4b4951ddc9, name: task1.bin
2020/08/30 22:43:14 P: 0.75, md5: 82ca9a9ba390dbc2156ccfa492ae2086, uuid: 26b77747-5e8e-4a7e-913e-a2ce33863ea5, name: 67chj0.exe
2020/08/30 22:43:14 P: 0.75, md5: 34d6217fa6c3843c5579b5596f25a0ce, uuid: bd44f76f-3c23-4bbb-8baa-efc95c7354c4, name: WinScraper.exe
2020/08/30 22:43:14 P: 0.75, md5: 6256dc496f1c30219c2e9a24c737ea19, uuid: c810a55b-3bdf-4130-b1d1-76dea534ea83, name: 679.bin
2020/08/30 22:43:14 P: 0.75, md5: 6797a85ce63ecd3b159095a49a77975c, uuid: 00937930-01e9-46fc-97bf-e78ee7eaa4d9, name: fkz9sse.exe
2020/08/30 22:43:14 P: 0.75, md5: 578bc61e4453fffd9324d730de1f3d4f, uuid: 0c30cf75-ac62-477d-8e8b-342523247acc, name: Petrovic.exe
2020/08/30 22:43:14 P: 0.75, md5: 95a8ed49e356924ab09f59cac22f5389, uuid: 66aa24bd-c00f-4f22-b96c-a1f15b8cf796, name: malware.exe
2020/08/30 22:43:14 P: 0.75, md5: 580a3561fc6c1aa925ad1927a51310ae, uuid: 9ffeff54-ad2e-415b-80f0-c3879089cbb2, name: 8wr5E
2020/08/30 22:43:14 P: 0.75, md5: 14b0d48ff026443c94a62a58e90fdb28, uuid: f3411fc0-8c2e-427b-9489-fc052667396d, name: methodsspecial.exe
2020/08/30 22:43:14 P: 0.75, md5: cccbdc31f5829d82f8b27f4493a689b2, uuid: 255102d1-cdd1-4b63-93ea-b2b84cfa2194, name: a9illa9n-xzmtn3d4q5-1767396
2020/08/30 22:43:14 P: 0.75, md5: b81e2e69bd34b7cf21b8bee26d852eb3, uuid: 49c5a9e0-1b07-4e49-9e84-aede4a859b82, name: sample1.bin
2020/08/30 22:43:14 P: 0.75, md5: ce3dcfb0175b6bb3518e45f2b67613a9, uuid: d0f8892c-6a41-4293-bcd0-fa71de97403f, name: sample.bin
2020/08/30 22:43:14 P: 0.75, md5: 862742a7745fec88e361aab2ffb075e9, uuid: 07df056e-fd77-4855-9876-c8ee430c950d, name: FixedE2.file
2020/08/30 22:43:14 P: 0.75, md5: 7d9161cc82f345c1efb17da2f54e5817, uuid: 99999fb7-c53e-4d69-b30a-f10cba172e77, name: e257dd9ded4ab4937aa7fd3fc137f41521ac899bf2fa6130ac43c7f05ad5c062
2020/08/30 22:43:14 P: 0.75, md5: 20afd1814233fe9b3627302224b9fa7d, uuid: 014975d6-de36-4be9-b877-2b51826f36d1, name: 5jc35xf.exe
2020/08/30 22:43:14 P: 0.75, md5: b4ba1b8ae950028d67be991aee7ed265, uuid: 14837e8b-aae1-477b-adae-54304dc41cda, name: 1x71wob6-gksdb-2920501
2020/08/30 22:43:14 P: 0.75, md5: 799fb3284bc61f8ecb50172891145cad, uuid: 33cebbc5-029a-4dc4-9dd5-8736edadc4ed, name: cleaningbusinessinstitute.exe
2020/08/30 22:43:14 P: 0.75, md5: a4d86f311f761faf63ac83a9472c36d2, uuid: b25b7bd2-4260-4b77-a895-6db8a122dde0, name: 846a6e014c6264acb26690f731c9cb172e03195d2efb21c202a7b3fe559557f1
2020/08/30 22:43:14 P: 0.75, md5: b32bd3ff6b17b64c3764bb6287d6177f, uuid: a1dcc225-a74a-404f-a12f-d3b5c0aa392e, name: 1.exe
2020/08/30 22:43:14 P: 0.75, md5: 55208407556541a29ca88e55098edadf, uuid: 3bcdd4c9-4ae0-44a6-b9a1-476c6f33754e, name: serialsitka.exe
2020/08/30 22:43:14 P: 0.75, md5: 3e43912e22e61dc8bbab30ef3f8ae92c, uuid: 95417e9e-8457-4eb4-9974-9e2cd07adb8a, name: 8wr5E
2020/08/30 22:43:14 P: 0.75, md5: a2a85c535215dcd11552e98fb49f29cd, uuid: 2fe7ec14-bfac-4aeb-b134-1b5b85711a58, name: F2kgB2p
2020/08/30 22:43:14 P: 0.75, md5: c3c99d0e397a6f9dda1c583d332eb03a, uuid: 3f17bd6d-8b67-49aa-bb47-350294718a91, name: j01-yodp-989
2020/08/30 22:43:14 P: 0.75, md5: dfd693cfcce68b953e16911ff18f2052, uuid: 4fa198aa-afb6-4a8b-b6cd-646954f20f4d, name: dJgyZNtttHM.exe
2020/08/30 22:43:14 P: 0.75, md5: b356ddc2348a102711ccd47a65b6cbcf, uuid: 6dd5f639-f415-44f3-a448-dafa40183a71, name: bad1.bin
2020/08/30 22:43:14 P: 0.75, md5: 22222398a1152e0eddcc0e1f9fa23db3, uuid: 8fb0399f-3376-4683-829e-333626a7de08, name: cjy4-j423i30-616378266
2020/08/30 22:43:14 P: 0.75, md5: 4c5ecb008e196ee544e7aba49d8b7394, uuid: dce10cc6-a4c1-40ae-9689-6cbda9631eb0, name: 33.bin
